,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration
8465,18465,2,5,1,1,0,1,885
8466,18466,2,6,1,1,0,6,460
8467,18467,1,5,1,2,1,1,435
8468,18468,1,3,6,1,0,1,435
8469,18469,1,6,2,2,0,6,1440
8470,18470,1,2,1,2,0,2,540
8471,18471,1,4,2,1,0,1,555
8472,18472,1,1,6,2,0,1,495
8473,18473,1,6,1,1,0,6,510
8474,18474,1,3,1,1,2,1,510
8475,18475,1,5,1,1,0,1,450
8476,18476,1,2,2,2,1,1,630
8477,18477,1,1,6,1,0,4,600
8478,18478,1,2,6,2,0,1,345
8479,18479,1,2,2,2,0,1,450
8480,18480,1,4,5,2,0,2,290
8481,18481,1,5,5,2,0,1,450
8482,18482,1,1,6,1,0,1,390
8483,18483,2,3,1,2,1,1,480
8484,18484,1,6,1,1,0,5,510
8485,18485,1,4,1,1,1,1,480
8486,18486,1,3,1,2,2,1,390
8487,18487,2,1,6,1,1,1,600
8488,18488,1,5,1,2,0,1,495
8489,18489,1,1,6,1,0,4,555
8490,18490,1,7,5,2,0,5,750
8491,18491,1,7,1,2,0,2,690
8492,18492,1,4,6,1,0,3,450
8493,18493,1,1,6,1,0,1,570
8494,18494,1,5,1,2,0,5,390
8495,18495,1,2,1,2,0,2,520
8496,18496,1,4,2,1,0,3,420
8497,18497,1,6,5,2,0,3,595
8498,18498,1,7,3,1,0,6,420
8499,18499,1,3,1,2,2,1,470
8500,18500,1,3,1,2,3,2,490
8501,18501,2,3,6,2,0,2,565
8502,18502,1,6,3,1,0,5,420
8503,18503,1,5,1,1,0,4,540
8504,18504,1,5,5,1,0,1,825
8505,18505,1,1,6,1,0,1,780
8506,18506,1,3,6,1,0,6,490
8507,18507,1,2,1,1,0,1,460
8508,18508,2,6,1,1,0,6,480
8509,18509,1,2,6,2,1,1,720
8510,18510,2,4,2,1,1,4,525
8511,18511,1,5,3,2,0,6,585
8512,18512,2,5,1,1,0,6,450
8513,18513,1,7,5,2,0,6,440
8514,18514,1,6,1,1,0,2,405
8515,18515,2,6,4,1,0,6,630
8516,18516,1,5,1,2,0,5,400
8517,18517,1,5,1,2,0,6,570
8518,18518,1,2,1,1,2,2,485
8519,18519,3,3,1,1,3,1,570
8520,18520,2,5,1,1,0,2,480
8521,18521,1,1,6,2,1,1,455
8522,18522,2,4,1,1,0,2,525
8523,18523,1,2,6,1,0,4,270
8524,18524,1,1,6,2,0,3,570
8525,18525,1,3,1,1,1,1,660
8526,18526,1,7,3,2,0,6,450
8527,18527,2,6,3,1,0,1,510
8528,18528,1,6,1,1,0,6,450
8529,18529,1,4,1,2,0,6,605
8530,18530,1,6,5,2,0,3,480
8531,18531,1,4,1,1,0,1,500
8532,18532,1,2,6,1,0,3,380
8533,18533,1,6,1,2,0,2,500
8534,18534,1,1,1,1,1,3,360
8535,18535,2,5,1,2,0,6,570
8536,18536,1,5,1,2,0,2,500
8537,18537,2,6,1,2,0,2,560
8538,18538,1,7,1,1,0,1,660
8539,18539,1,5,1,2,0,1,540
8540,18540,1,4,1,1,0,1,450
8541,18541,2,6,1,2,0,2,510
8542,18542,1,3,1,2,3,1,540
8543,18543,1,2,2,2,1,2,530
8544,18544,1,3,2,2,1,1,515
8545,18545,1,2,6,1,0,2,420
8546,18546,2,3,1,1,3,2,510
8547,18547,1,4,1,1,2,2,480
8548,18548,1,4,1,2,0,6,840
8549,18549,1,3,1,2,3,1,465
8550,18550,3,7,4,1,0,3,390
8551,18551,1,6,6,1,0,3,480
8552,18552,1,4,1,1,0,2,180
8553,18553,1,3,5,1,0,1,490
8554,18554,2,7,3,2,0,6,500
8555,18555,1,3,6,1,0,3,600
8556,18556,1,5,5,2,0,1,520
8557,18557,1,2,6,1,2,2,540
8558,18558,1,4,2,1,0,4,480
8559,18559,1,5,4,1,0,4,400
8560,18560,1,3,6,2,0,2,760
8561,18561,1,2,6,1,0,1,485
8562,18562,1,6,5,2,0,6,600
8563,18563,1,2,1,2,0,2,445
8564,18564,1,5,1,2,0,3,620
8565,18565,1,6,3,1,0,2,470
8566,18566,3,7,3,2,0,6,525
8567,18567,1,7,3,1,0,6,655
8568,18568,1,1,6,2,0,2,600
8569,18569,1,5,1,2,0,1,390
8570,18570,2,4,6,1,0,3,555
8571,18571,1,1,6,1,0,2,595
8572,18572,2,4,4,1,0,2,465
8573,18573,1,7,3,2,0,5,605
